jf44-RKN;vgv2020,RKN,10
R3e Nice RKN;VGv2020,RKN,10
Iroizo C-RKN;VGv2020,C-RKN,4,TARA
Malamoc;VG2020,Salines Saint-Martin,12
Iety_RKN;Vendée Globe,RKN,6
Onyx Star;Vendée Globe,RKN,7
Celemans RKN;Vendee Globe,RKN,6
barlat26;vendee globe,,15
papylaser;vendée globe,,6
MoaPa;Vendée Globe,,1
Velaska;Vandee Globe,The Sea Wolves Team,2
opa_brommie;vendee globe,nvrzg,10
stefanovich;,,6
Jeanbern19;Vendée Globe,Pen Duick - Tabarly,15
AMISTER92;VENDEE GLOBE,CAF,1
muse58;vendée globe,,6
paz1chat;vendee globe,,
Orruc;Jules Verne,,
cybermanu;440,,
Optimix;Vendée Globe,,
PTITOUAN TP-LCD;Vendée globe,TP-LCD,
Terrmer;,Les feuilles,
LEA-AND-NATHAN-33320;EA-AND-NATHAN-33520	8:00:00 UTC 1	122701	8032.04	-	270.0°	HG (Auto)	racing	56°00'56.11"S 94°58'58.27"W	124.374	135.676	18.8	18.96	1.0431	100%	Full Pack
LOLO72 / INC-BUREAU VALLEE;vendée globe,les INCognitos,1,IMOCA
Ivan44 PK;Vendée globe ,,,
ivan44 PK;navy44
Marcopo;VendéeGlobe,,10,
TEAM PP;Vendée Globe,Petit Prince,12,IMOCA
BITZ;Jules Verne,undefined,10,IMOCA
Khannur;RORC,Somos Balleneros [FC],12,IMOCA
Jeîdi22;tara,undefined,undefined,TROISMATS
Le-filant-VDA;TARA,Petit Prince,12,TARA
